date,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
2018-08-08,59,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-09,60,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-10,58,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-11,59,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-12,54,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-13,64,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-14,62,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-15,63,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-16,62,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-17,60,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-18,61,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-19,55,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-20,56,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-21,66,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-23,49,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-24,49,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-25,47,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-26,47,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-27,42,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-28,42,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-29,33,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-30,43,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-31,48,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-01,48,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-02,44,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-03,50,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-04,42,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-05,39,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-06,52,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-07,52,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-08,52,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-09,52,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-10,51,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-11,44,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-12,39,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-13,51,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-14,55,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-15,47,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-16,48,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-17,50,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-18,42,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-19,38,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-20,48,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-21,51,DELL,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-23,58,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-24,53,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-25,52,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-26,52,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-27,57,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-28,64,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-29,53,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-30,57,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-31,54,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-01,51,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-02,47,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-03,52,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-04,61,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-05,58,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-06,50,SONY,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
